Title,Description,Price,Tags,Color,Sizes
LOS ANGELES,Premium hair system with natural look and feel,8000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
AUSTRALIAN PREMIUM,High-quality Australian hair system,15000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
AUSTRALIAN MIRAGE,Premium mirage finish Australian system,20000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
BMW PREMIUM,Luxury BMW premium hair system,8000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
Q6 PREMIUM,Q6 premium quality hair system,8000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
OCTAGON,Premium octagon base hair system,25000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
GOLDEN MIRAGE PREMIUM,Golden mirage premium hair system,20000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
BRITISH MIRAGE,British mirage quality hair system,15000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
WAVE,Natural wave pattern hair system,20000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
INDIAN SCALP,Premium Indian scalp hair system,20000,Hair;Hair System,Natural Black,7x5;8x5;8x6;9x6;9x7;10x7;10x8;8x11;9x11
